gufw		#firewall managment
firejail	#application sandbox
keepassx	#password manager
clamav		#malware scanner
rsync		#backup program
wireshark	#network protocol analyzer
nmap		#network exploration, security auditing
chkrootkit	#rootkit infection scanner
maltego		#intelligence and forensics
sqlmap		#SQL penetration testing tool
burpsuite	#application security testing software
grabber		#web application scanner
bed			#bruteforce exploit detector
dotdotpwn	#fuzzer to discover traversal directory vulnerbilities
OpenVas		#vulnerability scanning and managment
